Inputs,in_size,out_size,Bias
8,1,1,False
8,1,2,False
8,1,3,False
8,1,4,False
8,1,5,False
8,1,6,False
8,1,7,False
8,1,8,False
8,1,9,False
8,1,10,False
8,1,20,False
8,1,30,False
8,1,40,False
8,1,50,False
8,1,60,False
8,1,70,False
8,1,80,False
8,1,90,False
8,1,100,False
8,1,200,False
8,1,300,False
8,1,400,False
8,1,500,False
8,1,600,False
8,1,700,False
8,1,800,False
8,1,900,False
8,1,1000,False
8,2,1,False
8,2,2,False
8,2,3,False
8,2,4,False
8,2,5,False
8,2,6,False
8,2,7,False
8,2,8,False
8,2,9,False
8,2,10,False
8,2,20,False
8,2,30,False
8,2,40,False
8,2,50,False
8,2,60,False
8,2,70,False
8,2,80,False
8,2,90,False
8,2,100,False
8,2,200,False
8,2,300,False
8,2,400,False
8,2,500,False
8,2,600,False
8,2,700,False
8,2,800,False
8,2,900,False
8,2,1000,False
8,3,1,False
8,3,2,False
8,3,3,False
8,3,4,False
8,3,5,False
8,3,6,False
8,3,7,False
8,3,8,False
8,3,9,False
8,3,10,False
8,3,20,False
8,3,30,False
8,3,40,False
8,3,50,False
8,3,60,False
8,3,70,False
8,3,80,False
8,3,90,False
8,3,100,False
8,3,200,False
8,3,300,False
8,3,400,False
8,3,500,False
8,3,600,False
8,3,700,False
8,3,800,False
8,3,900,False
8,3,1000,False
8,4,1,False
8,4,2,False
8,4,3,False
8,4,4,False
8,4,5,False
8,4,6,False
8,4,7,False
8,4,8,False
8,4,9,False
8,4,10,False
8,4,20,False
8,4,30,False
8,4,40,False
8,4,50,False
8,4,60,False
8,4,70,False
8,4,80,False
8,4,90,False
8,4,100,False
8,4,200,False
8,4,300,False
8,4,400,False
8,4,500,False
8,4,600,False
8,4,700,False
8,4,800,False
8,4,900,False
8,4,1000,False
8,5,1,False
8,5,2,False
8,5,3,False
8,5,4,False
8,5,5,False
8,5,6,False
8,5,7,False
8,5,8,False
8,5,9,False
8,5,10,False
8,5,20,False
8,5,30,False
8,5,40,False
8,5,50,False
8,5,60,False
8,5,70,False
8,5,80,False
8,5,90,False
8,5,100,False
8,5,200,False
8,5,300,False
8,5,400,False
8,5,500,False
8,5,600,False
8,5,700,False
8,5,800,False
8,5,900,False
8,5,1000,False
8,6,1,False
8,6,2,False
8,6,3,False
8,6,4,False
8,6,5,False
8,6,6,False
8,6,7,False
8,6,8,False
8,6,9,False
8,6,10,False
8,6,20,False
8,6,30,False
8,6,40,False
8,6,50,False
8,6,60,False
8,6,70,False
8,6,80,False
8,6,90,False
8,6,100,False
8,6,200,False
8,6,300,False
8,6,400,False
8,6,500,False
8,6,600,False
8,6,700,False
8,6,800,False
8,6,900,False
8,6,1000,False
8,7,1,False
8,7,2,False
8,7,3,False
8,7,4,False
8,7,5,False
8,7,6,False
8,7,7,False
8,7,8,False
8,7,9,False
8,7,10,False
8,7,20,False
8,7,30,False
8,7,40,False
8,7,50,False
8,7,60,False
8,7,70,False
8,7,80,False
8,7,90,False
8,7,100,False
8,7,200,False
8,7,300,False
8,7,400,False
8,7,500,False
8,7,600,False
8,7,700,False
8,7,800,False
8,7,900,False
8,7,1000,False
8,8,1,False
8,8,2,False
8,8,3,False
8,8,4,False
8,8,5,False
8,8,6,False
8,8,7,False
8,8,8,False
8,8,9,False
8,8,10,False
8,8,20,False
8,8,30,False
8,8,40,False
8,8,50,False
8,8,60,False
8,8,70,False
8,8,80,False
8,8,90,False
8,8,100,False
8,8,200,False
8,8,300,False
8,8,400,False
8,8,500,False
8,8,600,False
8,8,700,False
8,8,800,False
8,8,900,False
8,8,1000,False
8,9,1,False
8,9,2,False
8,9,3,False
8,9,4,False
8,9,5,False
8,9,6,False
8,9,7,False
8,9,8,False
8,9,9,False
8,9,10,False
8,9,20,False
8,9,30,False
8,9,40,False
8,9,50,False
8,9,60,False
8,9,70,False
8,9,80,False
8,9,90,False
8,9,100,False
8,9,200,False
8,9,300,False
8,9,400,False
8,9,500,False
8,9,600,False
8,9,700,False
8,9,800,False
8,9,900,False
8,9,1000,False
8,10,1,False
8,10,2,False
8,10,3,False
8,10,4,False
8,10,5,False
8,10,6,False
8,10,7,False
8,10,8,False
8,10,9,False
8,10,10,False
8,10,20,False
8,10,30,False
8,10,40,False
8,10,50,False
8,10,60,False
8,10,70,False
8,10,80,False
8,10,90,False
8,10,100,False
8,10,200,False
8,10,300,False
8,10,400,False
8,10,500,False
8,10,600,False
8,10,700,False
8,10,800,False
8,10,900,False
8,10,1000,False
8,20,1,False
8,20,2,False
8,20,3,False
8,20,4,False
8,20,5,False
8,20,6,False
8,20,7,False
8,20,8,False
8,20,9,False
