FLOPs,Time
16,0.0041
32,0.0041
48,0.0041
64,0.0041
80,0.0041
96,0.0041
112,0.0041
128,0.0041
144,0.0041
160,0.0041
320,0.0051
480,0.0051
640,0.0041
800,0.0051
960,0.0041
1120,0.0051
1280,0.0051
1440,0.0051
1600,0.0051
3200,0.0072
4800,0.0051
6400,0.0051
8000,0.0051
9600,0.0051
11200,0.0051
12800,0.0051
14400,0.0051
16000,0.0051
16,0.0051
32,0.0051
48,0.0051
64,0.0051
80,0.0051
96,0.0051
112,0.0051
128,0.0051
144,0.0051
160,0.0051
320,0.0051
480,0.0051
640,0.0051
800,0.0051
960,0.0051
1120,0.0051
1280,0.0051
1440,0.0051
1600,0.0051
3200,0.0072
4800,0.0051
6400,0.0051
8000,0.0051
9600,0.0051
11200,0.0051
12800,0.0051
14400,0.0051
16000,0.0051
32,0.0072
64,0.0061
96,0.0061
128,0.0061
160,0.0061
192,0.0061
224,0.0061
256,0.0061
288,0.0061
320,0.0061
640,0.0061
960,0.0061
1280,0.0061
1600,0.0061
1920,0.0061
2240,0.0061
2560,0.0061
2880,0.0061
3200,0.0061
6400,0.0061
9600,0.0072
12800,0.0072
16000,0.0072
19200,0.0072
22400,0.0072
25600,0.0072
28800,0.0072
32000,0.0072
32,0.0082
64,0.0061
96,0.0061
128,0.0061
160,0.0061
192,0.0061
224,0.0061
256,0.0061
288,0.0061
320,0.0061
640,0.0061
960,0.0061
1280,0.0061
1600,0.0061
1920,0.0061
2240,0.0061
2560,0.0061
2880,0.0061
3200,0.0061
6400,0.0061
9600,0.0072
12800,0.0072
16000,0.0072
19200,0.0072
22400,0.0072
25600,0.0072
28800,0.0072
32000,0.0072
48,0.0072
96,0.0061
144,0.0061
192,0.0061
240,0.0061
288,0.0061
336,0.0061
384,0.0061
432,0.0061
480,0.0061
960,0.0061
1440,0.0061
1920,0.0061
2400,0.0061
2880,0.0061
3360,0.0061
3840,0.0061
4320,0.0061
4800,0.0061
9600,0.0061
14400,0.0072
19200,0.0072
24000,0.0072
28800,0.0072
33600,0.0072
38400,0.0072
43200,0.0072
48000,0.0072
48,0.0082
96,0.0061
144,0.0061
192,0.0061
240,0.0061
288,0.0061
336,0.0061
384,0.0061
432,0.0061
480,0.0061
960,0.0061
1440,0.0061
1920,0.0061
2400,0.0061
2880,0.0061
3360,0.0061
3840,0.0061
4320,0.0061
4800,0.0061
9600,0.0061
14400,0.0072
19200,0.0072
24000,0.0072
28800,0.0072
33600,0.0072
38400,0.0072
43200,0.0072
48000,0.0072
64,0.0072
128,0.0061
192,0.0061
256,0.0061
320,0.0061
384,0.0061
448,0.0061
512,0.0061
576,0.0061
640,0.0061
1280,0.0061
1920,0.0061
2560,0.0061
3200,0.0061
3840,0.0061
4480,0.0061
5120,0.0061
5760,0.0061
6400,0.0061
12800,0.0061
19200,0.0072
25600,0.0072
32000,0.0072
38400,0.0072
44800,0.0072
51200,0.0072
57600,0.0072
64000,0.0072
64,0.0082
128,0.0061
192,0.0061
256,0.0061
320,0.0061
384,0.0061
448,0.0061
512,0.0061
576,0.0061
640,0.0061
1280,0.0061
1920,0.0061
2560,0.0061
3200,0.0061
3840,0.0061
4480,0.0061
5120,0.0061
5760,0.0061
6400,0.0061
12800,0.0061
19200,0.0072
25600,0.0072
32000,0.0072
38400,0.0072
44800,0.0072
51200,0.0072
57600,0.0072
64000,0.0072
80,0.0072
160,0.0061
240,0.0061
320,0.0061
400,0.0061
480,0.0061
560,0.0061
640,0.0061
720,0.0061
800,0.0061
1600,0.0061
2400,0.0061
3200,0.0061
4000,0.0061
4800,0.0061
5600,0.0061
6400,0.0061
7200,0.0061
8000,0.0061
16000,0.0061
24000,0.0072
32000,0.0072
40000,0.0072
48000,0.0072
56000,0.0072
64000,0.0072
72000,0.0072
80000,0.0072
80,0.0082
160,0.0061
240,0.0061
320,0.0061
400,0.0061
480,0.0061
560,0.0061
640,0.0061
720,0.0061
800,0.0061
1600,0.0061
2400,0.0061
3200,0.0061
4000,0.0061
4800,0.0061
5600,0.0061
6400,0.0061
7200,0.0061
8000,0.0061
16000,0.0061
24000,0.0072
32000,0.0072
40000,0.0072
48000,0.0072
56000,0.0072
64000,0.0072
72000,0.0072
80000,0.0072
96,0.0072
192,0.0061
288,0.0061
384,0.0061
480,0.0061
576,0.0061
672,0.0061
768,0.0061
864,0.0061
960,0.0061
1920,0.0061
2880,0.0061
3840,0.0061
4800,0.0061
5760,0.0061
6720,0.0061
7680,0.0061
8640,0.0061
9600,0.0061
19200,0.0061
28800,0.0072
38400,0.0072
48000,0.0072
57600,0.0072
67200,0.0072
76800,0.0072
86400,0.0072
96000,0.0072
96,0.0082
192,0.0061
288,0.0061
384,0.0061
480,0.0061
576,0.0061
672,0.0061
768,0.0061
