Kernel Name,Latency (ms)
b16.2.2.32.512.2.1.3.3.1.1.1,0.0506879985332489
b16.2.2.32.512.2.1.3.5.1.1.1,0.053247999399900436
b16.2.2.32.512.2.1.3.7.1.1.1,0.058368001133203506
b16.2.2.32.512.2.1.5.3.1.1.1,0.05427199974656105
b16.2.2.32.512.2.1.5.5.1.1.1,0.06143999844789505
b16.2.2.32.512.2.1.5.7.1.1.1,0.08089599758386612
b16.2.2.32.512.2.1.7.3.1.1.1,0.060416001826524734
b16.2.2.32.512.2.1.7.5.1.1.1,0.08140799775719643
b16.2.2.32.512.2.1.7.7.1.1.1,0.09625600278377533
b16.2.2.32.512.8.1.3.3.1.1.1,nan
b16.2.2.32.512.8.1.3.5.1.1.1,nan
b16.2.2.32.512.8.1.3.7.1.1.1,nan
b16.2.2.32.512.8.1.5.3.1.1.1,nan
b16.2.2.32.512.8.1.5.5.1.1.1,nan
b16.2.2.32.512.8.1.5.7.1.1.1,nan
b16.2.2.32.512.8.1.7.3.1.1.1,nan
b16.2.2.32.512.8.1.7.5.1.1.1,nan
b16.2.2.32.512.8.1.7.7.1.1.1,nan
b16.2.2.32.512.32.1.3.3.1.1.1,nan
b16.2.2.32.512.32.1.3.5.1.1.1,nan
b16.2.2.32.512.32.1.3.7.1.1.1,nan
b16.2.2.32.512.32.1.5.3.1.1.1,nan
b16.2.2.32.512.32.1.5.5.1.1.1,nan
b16.2.2.32.512.32.1.5.7.1.1.1,nan
b16.2.2.32.512.32.1.7.3.1.1.1,nan
b16.2.2.32.512.32.1.7.5.1.1.1,nan
b16.2.2.32.512.32.1.7.7.1.1.1,nan
b16.2.2.32.512.128.1.3.3.1.1.1,nan
b16.2.2.32.512.128.1.3.5.1.1.1,nan
b16.2.2.32.512.128.1.3.7.1.1.1,nan
b16.2.2.32.512.128.1.5.3.1.1.1,nan
b16.2.2.32.512.128.1.5.5.1.1.1,nan
b16.2.2.32.512.128.1.5.7.1.1.1,nan
b16.2.2.32.512.128.1.7.3.1.1.1,nan
b16.2.2.32.512.128.1.7.5.1.1.1,nan
b16.2.2.32.512.128.1.7.7.1.1.1,nan
b16.2.2.32.512.512.1.3.3.1.1.1,nan
b16.2.2.32.512.512.1.3.5.1.1.1,nan
b16.2.2.32.512.512.1.3.7.1.1.1,nan
b16.2.2.32.512.512.1.5.3.1.1.1,nan
b16.2.2.32.512.512.1.5.5.1.1.1,nan
b16.2.2.32.512.512.1.5.7.1.1.1,nan
b16.2.2.32.512.512.1.7.3.1.1.1,nan
b16.2.2.32.512.512.1.7.5.1.1.1,nan
b16.2.2.32.512.512.1.7.7.1.1.1,nan
b16.2.2.32.512.1024.1.3.3.1.1.1,nan
b16.2.2.32.512.1024.1.3.5.1.1.1,nan
b16.2.2.32.512.1024.1.3.7.1.1.1,nan
b16.2.2.32.512.1024.1.5.3.1.1.1,nan
b16.2.2.32.512.1024.1.5.5.1.1.1,nan
b16.2.2.32.512.1024.1.5.7.1.1.1,nan
b16.2.2.32.512.1024.1.7.3.1.1.1,nan
b16.2.2.32.512.1024.1.7.5.1.1.1,nan
b16.2.2.32.512.1024.1.7.7.1.1.1,nan
b16.2.2.32.512.2048.1.3.3.1.1.1,nan
b16.2.2.32.512.2048.1.3.5.1.1.1,nan
