batch_size,m,k,n
1,8192,768,384
1,8192,768,768
1,8192,768,3072
1,8192,3072,768
1,8192,768,30522
1,12544,768,2304
1,12544,768,3072
1,12544,3072,768
1,16,768,768
1,12560,768,768
1,16,768,3072
1,16,3072,768
1,16,768,1000
1,64,25088,4096
1,64,4096,4096
1,64,4096,1000
1,8192,768,384
1,8192,768,768
1,8192,768,3072
1,8192,3072,768
1,8192,768,30522
1,12544,768,2304
1,12544,768,3072
1,12544,3072,768
1,16,768,768
1,12560,768,768
1,16,768,3072
1,16,3072,768
1,16,768,1000
1,1000,12544,1024
1,1000,1024,1024
1,1000,1024,91
1,1000,1024,364
