batch_size,m,k,n
1,8192,384,54
1,8192,30522,768
1,30522,8192,768
1,8192,768,768
1,768,8192,768
1,8192,768,3072
1,768,8192,3072
1,8192,3072,768
1,3072,8192,768
1,8192,384,768
1,384,8192,768
1,54,8192,384
1,8192,54,384
1,12544,768,768
1,16,1000,768
1,1000,16,768
1,16,768,3072
1,768,16,3072
1,16,3072,768
1,3072,16,768
1,16,768,768
1,768,16,768
1,12560,768,768
1,768,12560,768
1,12544,768,3072
1,768,12544,3072
1,12544,3072,768
1,3072,12544,768
1,768,12544,768
1,12544,2304,768
1,2304,12544,768
1,64,1000,4096
1,1000,64,4096
1,64,4096,4096
1,4096,64,4096
1,64,4096,25088
1,4096,64,25088
1,1024,1024,256008
1,50176,192,192
1,12544,384,1152
1,12608,384,768
1,64,384,384
1,32,768,512
1,32,512,512
