Params,Inputs,Precision,Bias,Input Size,Output Size,Kernel Name,Context,Stream,Block Size,Grid Size,Device,CC,Achieved Active Warps Per SM,Achieved Occupancy,Active Warps Per Scheduler,Avg. Active Threads Per Warp,Avg. Divergent Branches,Avg. Executed Instructions Per Scheduler,Avg. Issued Instructions Per Scheduler,Avg. Not Predicated Off Threads Per Warp,Block Limit Registers,Block Limit SM,Block Limit Shared Mem,Block Limit Warps,Block Size,Branch Efficiency,Branch Instructions,Branch Instructions Ratio,Compute (SM) Throughput,DRAM Frequency,DRAM Throughput,Driver Shared Memory Per Block,Duration,Dynamic Shared Memory Per Block,Elapsed Cycles,Eligible Warps Per Scheduler,Executed Instructions,Executed Ipc Active,Executed Ipc Elapsed,Function Cache Configuration,Grid Size,Issue Slots Busy,Issued Instructions,Issued Ipc Active,Issued Warp Per Scheduler,L1/TEX Cache Throughput,L1/TEX Hit Rate,L2 Cache Throughput,L2 Compression Ratio,L2 Compression Success Rate,L2 Hit Rate,Max Bandwidth,Mem Busy,Mem Pipes Busy,Memory Throughput,Memory Throughput,No Eligible,One or More Eligible,Registers Per Thread,SM Active Cycles,SM Busy,SM Frequency,Shared Memory Configuration Size,Static Shared Memory Per Block,Theoretical Active Warps per SM,Theoretical Occupancy,Threads,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Waves Per SM
76.32.1.1.12,76,32,1,1,12,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",1,7,"(128, 1, 1)","(4, 1, 1)",0,8.0,3.94[[warp]],6.15[[%]],1[[warp]],31.54[[]],0[[]],2.49[[inst]],3.08[[inst]],28.99[[]],32[[block]],32[[block]],32[[block]],16[[block]],128[[]],100[[%]],148[[inst]],0.14[[%]],0.07[[%]],1.44[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],3.81[[usecond]],0[[byte/block]],"4,378[[cycle]]",0.04[[warp]],"1,075[[inst]]",0.12[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],4[[]],3.64[[%]],"1,331[[inst]]",0.15[[inst/cycle]],0.04[[]],6.01[[%]],29.07[[%]],0.34[[%]],0[[]],0[[%]],100.06[[%]],0.34[[%]],0.32[[%]],0.02[[%]],33.61[[Mbyte/second]],0.34[[%]],96.46[[%]],3.54[[%]],16[[register/thread]],84.73[[cycle]],3.64[[%]],1.15[[cycle/nsecond]],32.77[[Kbyte]],0[[byte/block]],64[[warp]],100[[%]],512[[thread]],34.97[[cycle]],28.25[[cycle]],0.00[[]]
76.32.1.1.12,76,32,1,1,12,"void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)",1,7,"(256, 1, 1)","(1, 3, 1)",0,8.0,7.74[[warp]],12.09[[%]],1.93[[warp]],16.99[[]],0.01[[]],6.51[[inst]],7.23[[inst]],14.62[[]],10[[block]],32[[block]],16[[block]],8[[block]],256[[]],97.33[[%]],314[[inst]],0.11[[%]],0.12[[%]],1.48[[cycle/nsecond]],0.04[[%]],1.02[[Kbyte/block]],5.18[[usecond]],0[[byte/block]],"6,120[[cycle]]",0.08[[warp]],"2,814[[inst]]",0.25[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],3[[]],6.92[[%]],"3,123[[inst]]",0.28[[inst/cycle]],0.07[[]],6.19[[%]],59.56[[%]],0.25[[%]],0[[]],0[[%]],92.90[[%]],0.25[[%]],0.25[[%]],0.06[[%]],765.43[[Mbyte/second]],0.25[[%]],93.11[[%]],6.89[[%]],20[[register/thread]],104.53[[cycle]],6.92[[%]],1.18[[cycle/nsecond]],32.77[[Kbyte]],1.02[[Kbyte/block]],64[[warp]],100[[%]],768[[thread]],31.17[[cycle]],28.08[[cycle]],0.00[[]]
76.32.1.1.16,76,32,1,1,16,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",1,7,"(128, 1, 1)","(5, 1, 1)",0,8.0,3.97[[warp]],6.20[[%]],1[[warp]],32[[]],0[[]],3.24[[inst]],3.98[[inst]],29.39[[]],32[[block]],32[[block]],32[[block]],16[[block]],128[[]],100[[%]],192[[inst]],0.14[[%]],0.09[[%]],1.44[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],3.74[[usecond]],0[[byte/block]],"4,325[[cycle]]",0.04[[warp]],"1,398[[inst]]",0.12[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],5[[]],3.78[[%]],"1,718[[inst]]",0.15[[inst/cycle]],0.04[[]],5.19[[%]],28.95[[%]],0.34[[%]],0[[]],0[[%]],98.20[[%]],0.34[[%]],0.33[[%]],0.02[[%]],68.38[[Mbyte/second]],0.34[[%]],96.17[[%]],3.83[[%]],16[[register/thread]],105.07[[cycle]],3.78[[%]],1.15[[cycle/nsecond]],32.77[[Kbyte]],0[[byte/block]],64[[warp]],100[[%]],640[[thread]],32.05[[cycle]],26.08[[cycle]],0.00[[]]
76.32.1.1.16,76,32,1,1,16,"void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)",1,7,"(256, 1, 1)","(1, 3, 1)",0,8.0,7.70[[warp]],12.03[[%]],1.94[[warp]],19.97[[]],0.01[[]],6.51[[inst]],7.23[[inst]],17.45[[]],10[[block]],32[[block]],16[[block]],8[[block]],256[[]],97.33[[%]],314[[inst]],0.11[[%]],0.11[[%]],1.57[[cycle/nsecond]],0.05[[%]],1.02[[Kbyte/block]],5.38[[usecond]],0[[byte/block]],"6,757[[cycle]]",0.08[[warp]],"2,814[[inst]]",0.25[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],3[[]],6.82[[%]],"3,123[[inst]]",0.27[[inst/cycle]],0.07[[]],5.49[[%]],47.50[[%]],0.25[[%]],0[[]],0[[%]],92.20[[%]],0.25[[%]],0.22[[%]],0.05[[%]],976.19[[Mbyte/second]],0.25[[%]],93.01[[%]],6.99[[%]],20[[register/thread]],106.01[[cycle]],6.82[[%]],1.25[[cycle/nsecond]],32.77[[Kbyte]],1.02[[Kbyte/block]],64[[warp]],100[[%]],768[[thread]],30.75[[cycle]],27.70[[cycle]],0.00[[]]
76.32.1.1.20,76,32,1,1,20,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",1,7,"(128, 1, 1)","(6, 1, 1)",0,8.0,3.99[[warp]],6.24[[%]],1[[warp]],31.72[[]],0[[]],4.06[[inst]],4.94[[inst]],29.11[[]],32[[block]],32[[block]],32[[block]],16[[block]],128[[]],100[[%]],240[[inst]],0.14[[%]],0.11[[%]],1.50[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],3.68[[usecond]],0[[byte/block]],"4,420[[cycle]]",0.04[[warp]],"1,752[[inst]]",0.13[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],6[[]],3.86[[%]],"2,136[[inst]]",0.15[[inst/cycle]],0.04[[]],4.54[[%]],37.72[[%]],0.35[[%]],0[[]],0[[%]],98.85[[%]],0.35[[%]],0.34[[%]],0.03[[%]],69.57[[Mbyte/second]],0.35[[%]],96.10[[%]],3.90[[%]],16[[register/thread]],128.06[[cycle]],3.86[[%]],1.19[[cycle/nsecond]],32.77[[Kbyte]],0[[byte/block]],64[[warp]],100[[%]],768[[thread]],31.30[[cycle]],25.67[[cycle]],0.00[[]]
76.32.1.1.20,76,32,1,1,20,"void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)",1,7,"(256, 1, 1)","(1, 3, 1)",0,8.0,7.56[[warp]],11.81[[%]],1.94[[warp]],22.95[[]],0.01[[]],6.51[[inst]],7.23[[inst]],20.28[[]],10[[block]],32[[block]],16[[block]],8[[block]],256[[]],97.33[[%]],314[[inst]],0.11[[%]],0.12[[%]],1.56[[cycle/nsecond]],0.07[[%]],1.02[[Kbyte/block]],4.90[[usecond]],0[[byte/block]],"6,116[[cycle]]",0.09[[warp]],"2,814[[inst]]",0.26[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],3[[]],7.18[[%]],"3,123[[inst]]",0.29[[inst/cycle]],0.08[[]],6.20[[%]],57.08[[%]],0.28[[%]],0[[]],0[[%]],92.16[[%]],0.28[[%]],0.25[[%]],0.06[[%]],1.31[[Gbyte/second]],0.28[[%]],92.35[[%]],7.65[[%]],20[[register/thread]],100.69[[cycle]],7.18[[%]],1.24[[cycle/nsecond]],32.77[[Kbyte]],1.02[[Kbyte/block]],64[[warp]],100[[%]],768[[thread]],28.07[[cycle]],25.30[[cycle]],0.00[[]]
76.32.1.1.24,76,32,1,1,24,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",1,7,"(128, 1, 1)","(8, 1, 1)",0,8.0,3.78[[warp]],5.90[[%]],1[[warp]],32[[]],0[[]],4.91[[inst]],6.05[[inst]],29.42[[]],32[[block]],32[[block]],32[[block]],16[[block]],128[[]],100[[%]],295[[inst]],0.14[[%]],0.14[[%]],1.47[[cycle/nsecond]],0.01[[%]],1.02[[Kbyte/block]],3.74[[usecond]],0[[byte/block]],"4,409[[cycle]]",0.04[[warp]],"2,122[[inst]]",0.12[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],8[[]],3.61[[%]],"2,613[[inst]]",0.14[[inst/cycle]],0.04[[]],3.69[[%]],36.84[[%]],0.36[[%]],0[[]],0[[%]],97.56[[%]],0.36[[%]],0.35[[%]],0.03[[%]],102.56[[Mbyte/second]],0.36[[%]],96.15[[%]],3.85[[%]],16[[register/thread]],167.56[[cycle]],3.61[[%]],1.18[[cycle/nsecond]],32.77[[Kbyte]],0[[byte/block]],64[[warp]],100[[%]],"1,024[[thread]]",31.96[[cycle]],25.96[[cycle]],0.00[[]]
76.32.1.1.24,76,32,1,1,24,"void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)",1,7,"(256, 1, 1)","(1, 3, 1)",0,8.0,7.70[[warp]],12.04[[%]],1.94[[warp]],25.93[[]],0.01[[]],6.51[[inst]],7.23[[inst]],23.12[[]],10[[block]],32[[block]],16[[block]],8[[block]],256[[]],97.33[[%]],314[[inst]],0.11[[%]],0.12[[%]],1.55[[cycle/nsecond]],0.08[[%]],1.02[[Kbyte/block]],4.77[[usecond]],0[[byte/block]],"5,892[[cycle]]",0.09[[warp]],"2,814[[inst]]",0.28[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],3[[]],7.69[[%]],"3,123[[inst]]",0.31[[inst/cycle]],0.08[[]],6.98[[%]],48.00[[%]],0.29[[%]],0[[]],0[[%]],90.77[[%]],0.29[[%]],0.26[[%]],0.06[[%]],1.64[[Gbyte/second]],0.29[[%]],92.26[[%]],7.74[[%]],20[[register/thread]],93.97[[cycle]],7.69[[%]],1.23[[cycle/nsecond]],32.77[[Kbyte]],1.02[[Kbyte/block]],64[[warp]],100[[%]],768[[thread]],27.85[[cycle]],25.10[[cycle]],0.00[[]]
76.32.1.1.28,76,32,1,1,28,"void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)",1,7,"(128, 1, 1)","(9, 1, 1)",0,8.0,3.93[[warp]],6.14[[%]],1[[warp]],31.79[[]],0.00[[]],5.73[[inst]],7.05[[inst]],29.21[[]],32[[block]],32[[block]],32[[block]],16[[block]],128[[]],99.58[[%]],342[[inst]],0.14[[%]],0.16[[%]],1.47[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],3.74[[usecond]],0[[byte/block]],"4,409[[cycle]]",0.04[[warp]],"2,475[[inst]]",0.12[[inst/cycle]],0.01[[inst/cycle]],CachePreferNone[[]],9[[]],3.76[[%]],"3,044[[inst]]",0.15[[inst/cycle]],0.04[[]],3.49[[%]],43.34[[%]],0.40[[%]],0[[]],0[[%]],97.93[[%]],0.40[[%]],0.36[[%]],0.04[[%]],68.38[[Mbyte/second]],0.40[[%]],96.13[[%]],3.87[[%]],16[[register/thread]],187.59[[cycle]],3.76[[%]],1.17[[cycle/nsecond]],32.77[[Kbyte]],0[[byte/block]],64[[warp]],100[[%]],"1,152[[thread]]",31.76[[cycle]],25.83[[cycle]],0.01[[]]
76.32.1.1.28,76,32,1,1,28,"void gemmk1_kernel<int, float, (int)256, (int)5, (bool)0, (bool)0, (bool)0, (bool)0, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<const float>, cublasGemvTensorStridedBatched<float>, float, (int)0>(cublasGemmk1Params<T2, T9, T10, T11, T12, biasType<T11::value_type, T12>::type>)",1,7,"(256, 1, 1)","(1, 3, 1)",0,8.0,7.42[[warp]],11.60[[%]],1.94[[warp]],28.91[[]],0.01[[]],6.51[[inst]],7.23[[inst]],25.95[[]],10[[block]],32[[block]],16[[block]],8[[block]],256[[]],97.33[[%]],314[[inst]],0.11[[%]],0.11[[%]],1.56[[cycle/nsecond]],0.09[[%]],1.02[[Kbyte/block]],5.18[[usecond]],0[[byte/block]],"6,477[[cycle]]",0.08[[warp]],"2,814[[inst]]",0.24[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],3[[]],6.56[[%]],"3,123[[inst]]",0.26[[inst/cycle]],0.07[[]],6.50[[%]],55.97[[%]],0.29[[%]],0[[]],0[[%]],88.15[[%]],0.29[[%]],0.27[[%]],0.06[[%]],1.70[[Gbyte/second]],0.29[[%]],93.11[[%]],6.89[[%]],20[[register/thread]],110.23[[cycle]],6.56[[%]],1.24[[cycle/nsecond]],32.77[[Kbyte]],1.02[[Kbyte/block]],64[[warp]],100[[%]],768[[thread]],31.20[[cycle]],28.11[[cycle]],0.00[[]]
