Params,Inputs,Precision,Bias,Input Size,Output Size,Kernel Name,Context,Stream,Block Size,Grid Size,Device,CC,Achieved Active Warps Per SM,Achieved Occupancy,Active Warps Per Scheduler,Avg. Active Threads Per Warp,Avg. Divergent Branches,Avg. Executed Instructions Per Scheduler,Avg. Issued Instructions Per Scheduler,Avg. Not Predicated Off Threads Per Warp,Block Limit Registers,Block Limit SM,Block Limit Shared Mem,Block Limit Warps,Block Size,Branch Efficiency,Branch Instructions,Branch Instructions Ratio,Compute (SM) Throughput,DRAM Frequency,DRAM Throughput,Driver Shared Memory Per Block,Duration,Dynamic Shared Memory Per Block,Elapsed Cycles,Eligible Warps Per Scheduler,Executed Instructions,Executed Ipc Active,Executed Ipc Elapsed,Function Cache Configuration,Grid Size,Issue Slots Busy,Issued Instructions,Issued Ipc Active,Issued Warp Per Scheduler,L1/TEX Cache Throughput,L1/TEX Hit Rate,L2 Cache Throughput,L2 Compression Ratio,L2 Compression Success Rate,L2 Hit Rate,Max Bandwidth,Mem Busy,Mem Pipes Busy,Memory Throughput,Memory Throughput,No Eligible,One or More Eligible,Registers Per Thread,SM Active Cycles,SM Busy,SM Frequency,Shared Memory Configuration Size,Static Shared Memory Per Block,Theoretical Active Warps per SM,Theoretical Occupancy,Threads,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Waves Per SM
1.161.0.1.1,1,161,0,1,1,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)",1,7,"(32, 4, 1)","(1, 1, 1)",0,8.0,3.35[[warp]],5.24[[%]],1[[warp]],14.22[[]],0.01[[]],1.22[[inst]],1.39[[inst]],10.71[[]],3[[block]],32[[block]],9[[block]],16[[block]],128[[]],92.16[[%]],81[[inst]],0.15[[%]],0.03[[%]],1.48[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],4.42[[usecond]],640[[byte/block]],"5,276[[cycle]]",0.06[[warp]],525[[inst]],0.16[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],4.69[[%]],601[[inst]],0.19[[inst/cycle]],0.06[[]],13.65[[%]],25[[%]],0.25[[%]],0[[]],0[[%]],100.28[[%]],0.25[[%]],0.24[[%]],0.01[[%]],28.99[[Mbyte/second]],0.25[[%]],94.34[[%]],5.66[[%]],168[[register/thread]],29.65[[cycle]],4.69[[%]],1.19[[cycle/nsecond]],16.38[[Kbyte]],0[[byte/block]],12[[warp]],18.75[[%]],128[[thread]],20.21[[cycle]],17.66[[cycle]],0.00[[]]
2.161.0.2.2,2,161,0,2,2,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_nn_align2>(T1::Params),1,7,"(32, 1, 1)","(1, 1, 1)",0,8.0,1[[warp]],1.56[[%]],1[[warp]],32[[]],0[[]],2.96[[inst]],3.03[[inst]],28.20[[]],16[[block]],32[[block]],7[[block]],64[[block]],32[[]],100[[%]],11[[inst]],0.01[[%]],0.04[[%]],1.43[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],6.50[[usecond]],20.74[[Kbyte/block]],"7,456[[cycle]]",0.24[[warp]],"1,279[[inst]]",0.23[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],5.87[[%]],"1,310[[inst]]",0.23[[inst/cycle]],0.24[[]],8.63[[%]],0[[%]],0.20[[%]],0[[]],0[[%]],102.03[[%]],0.20[[%]],0.18[[%]],0.04[[%]],59.11[[Mbyte/second]],0.20[[%]],76.41[[%]],23.59[[%]],128[[register/thread]],51.63[[cycle]],5.87[[%]],1.15[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],7[[warp]],10.94[[%]],32[[thread]],4.34[[cycle]],4.24[[cycle]],0.00[[]]
2.161.0.2.2,2,161,0,2,2,"void splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)1, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)",1,7,"(32, 16, 1)","(1, 1, 1)",0,8.0,11.92[[warp]],18.62[[%]],3.71[[warp]],14.60[[]],0[[]],1.68[[inst]],2.27[[inst]],10.17[[]],4[[block]],32[[block]],16[[block]],4[[block]],512[[]],100[[%]],132[[inst]],0.18[[%]],0.05[[%]],1.38[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],3.87[[usecond]],0[[byte/block]],"4,300[[cycle]]",0.17[[warp]],724[[inst]],0.23[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],7.93[[%]],982[[inst]],0.32[[inst/cycle]],0.11[[]],14.25[[%]],87.50[[%]],0.29[[%]],0[[]],0[[%]],99.16[[%]],0.29[[%]],0.29[[%]],0.02[[%]],33.06[[Mbyte/second]],0.29[[%]],88.69[[%]],11.31[[%]],32[[register/thread]],28.66[[cycle]],7.93[[%]],1.11[[cycle/nsecond]],16.38[[Kbyte]],0[[byte/block]],64[[warp]],100[[%]],512[[thread]],44.55[[cycle]],32.85[[cycle]],0.00[[]]
4.161.0.4.4,4,161,0,4,4,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_nn_align2>(T1::Params),1,7,"(32, 1, 1)","(1, 1, 1)",0,8.0,1[[warp]],1.56[[%]],1[[warp]],32[[]],0[[]],2.96[[inst]],3.03[[inst]],28.23[[]],16[[block]],32[[block]],7[[block]],64[[block]],32[[]],100[[%]],11[[inst]],0.01[[%]],0.04[[%]],1.40[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],6.66[[usecond]],20.74[[Kbyte/block]],"7,470[[cycle]]",0.24[[warp]],"1,279[[inst]]",0.22[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],5.68[[%]],"1,310[[inst]]",0.23[[inst/cycle]],0.24[[]],8.34[[%]],57.14[[%]],0.19[[%]],0[[]],0[[%]],99.66[[%]],0.19[[%]],0.17[[%]],0.04[[%]],38.46[[Mbyte/second]],0.19[[%]],76.40[[%]],23.60[[%]],128[[register/thread]],53.37[[cycle]],5.68[[%]],1.12[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],7[[warp]],10.94[[%]],32[[thread]],4.34[[cycle]],4.24[[cycle]],0.00[[]]
4.161.0.4.4,4,161,0,4,4,"void splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)1, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)",1,7,"(32, 16, 1)","(1, 1, 1)",0,8.0,12.22[[warp]],19.09[[%]],3.55[[warp]],13.59[[]],0[[]],2.06[[inst]],2.65[[inst]],9.73[[]],4[[block]],32[[block]],16[[block]],4[[block]],512[[]],100[[%]],152[[inst]],0.17[[%]],0.05[[%]],1.70[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],3.62[[usecond]],0[[byte/block]],"4,918[[cycle]]",0.17[[warp]],888[[inst]],0.31[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],9.92[[%]],"1,144[[inst]]",0.40[[inst/cycle]],0.12[[]],15.26[[%]],90.62[[%]],0.26[[%]],0[[]],0[[%]],99.31[[%]],0.26[[%]],0.26[[%]],0.02[[%]],106.19[[Mbyte/second]],0.26[[%]],87.82[[%]],12.18[[%]],32[[register/thread]],26.69[[cycle]],9.92[[%]],1.36[[cycle/nsecond]],16.38[[Kbyte]],0[[byte/block]],64[[warp]],100[[%]],512[[thread]],37.56[[cycle]],29.15[[cycle]],0.00[[]]
8.161.0.8.8,8,161,0,8,8,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x1_nn_align8>(T1::Params),1,7,"(32, 1, 1)","(1, 1, 1)",0,8.0,1.00[[warp]],1.56[[%]],1[[warp]],32[[]],0[[]],1.15[[inst]],1.22[[inst]],30.16[[]],28[[block]],32[[block]],26[[block]],64[[block]],32[[]],100[[%]],11[[inst]],0.02[[%]],0.02[[%]],1.50[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],5.41[[usecond]],5.38[[Kbyte/block]],"6,489[[cycle]]",0.12[[warp]],495[[inst]],0.11[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],3.03[[%]],526[[inst]],0.12[[inst/cycle]],0.12[[]],10.12[[%]],0[[%]],0.21[[%]],0[[]],0[[%]],98.67[[%]],0.21[[%]],0.20[[%]],0.01[[%]],71.01[[Mbyte/second]],0.21[[%]],87.85[[%]],12.15[[%]],70[[register/thread]],40.18[[cycle]],3.03[[%]],1.20[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],26[[warp]],40.62[[%]],32[[thread]],8.75[[cycle]],8.23[[cycle]],0.00[[]]
12.161.0.12.12,12,161,0,12,12,void cutlass::Kernel<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_nn_align1>(T1::Params),1,7,"(128, 1, 1)","(1, 1, 1)",0,8.0,3.83[[warp]],5.98[[%]],1[[warp]],31.96[[]],0.00[[]],5.28[[inst]],5.52[[inst]],28.83[[]],9[[block]],32[[block]],16[[block]],16[[block]],128[[]],96.97[[%]],46[[inst]],0.02[[%]],0.09[[%]],1.52[[cycle/nsecond]],0.01[[%]],1.02[[Kbyte/block]],5.25[[usecond]],5.12[[Kbyte/block]],"6,415[[cycle]]",0.14[[warp]],"2,280[[inst]]",0.51[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],13.33[[%]],"2,384[[inst]]",0.53[[inst/cycle]],0.14[[]],10.43[[%]],87.36[[%]],0.22[[%]],0[[]],0[[%]],98.52[[%]],0.22[[%]],0.20[[%]],0.05[[%]],170.73[[Mbyte/second]],0.22[[%]],85.94[[%]],14.06[[%]],56[[register/thread]],41.39[[cycle]],13.33[[%]],1.22[[cycle/nsecond]],102.40[[Kbyte]],0[[byte/block]],36[[warp]],56.25[[%]],128[[thread]],7.44[[cycle]],7.11[[cycle]],0.00[[]]
16.161.0.16.16,16,161,0,16,16,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x1_nn_align8>(T1::Params),1,7,"(32, 1, 1)","(1, 1, 1)",0,8.0,1.00[[warp]],1.56[[%]],1[[warp]],32[[]],0[[]],1.15[[inst]],1.22[[inst]],30.39[[]],28[[block]],32[[block]],26[[block]],64[[block]],32[[]],100[[%]],12[[inst]],0.02[[%]],0.02[[%]],1.52[[cycle/nsecond]],0.01[[%]],1.02[[Kbyte/block]],5.22[[usecond]],5.38[[Kbyte/block]],"6,347[[cycle]]",0.12[[warp]],497[[inst]],0.11[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],3.05[[%]],528[[inst]],0.12[[inst/cycle]],0.12[[]],10.48[[%]],2[[%]],0.22[[%]],0[[]],0[[%]],97.54[[%]],0.22[[%]],0.21[[%]],0.01[[%]],245.40[[Mbyte/second]],0.22[[%]],87.86[[%]],12.14[[%]],70[[register/thread]],40.12[[cycle]],3.05[[%]],1.22[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],26[[warp]],40.62[[%]],32[[thread]],8.75[[cycle]],8.24[[cycle]],0.00[[]]
20.161.0.20.20,20,161,0,20,20,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_nn_align2>(T1::Params),1,7,"(128, 1, 1)","(1, 1, 1)",0,8.0,3.92[[warp]],6.12[[%]],1[[warp]],31.97[[]],0.00[[]],9.09[[inst]],9.37[[inst]],29.12[[]],5[[block]],32[[block]],4[[block]],16[[block]],128[[]],94.12[[%]],48[[inst]],0.01[[%]],0.12[[%]],1.50[[cycle/nsecond]],0.02[[%]],1.02[[Kbyte/block]],6.27[[usecond]],37.38[[Kbyte/block]],"7,557[[cycle]]",0.18[[warp]],"3,926[[inst]]",0.70[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],17.99[[%]],"4,046[[inst]]",0.72[[inst/cycle]],0.18[[]],21.71[[%]],76.21[[%]],0.19[[%]],0[[]],0[[%]],97.51[[%]],0.19[[%]],0.18[[%]],0.10[[%]],346.94[[Mbyte/second]],0.19[[%]],82.08[[%]],17.92[[%]],96[[register/thread]],52.06[[cycle]],17.99[[%]],1.20[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],16[[warp]],25[[%]],128[[thread]],5.75[[cycle]],5.58[[cycle]],0.00[[]]
24.161.0.24.24,24,161,0,24,24,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_nn_align8>(T1::Params),1,7,"(32, 1, 1)","(4, 1, 1)",0,8.0,1[[warp]],1.56[[%]],1[[warp]],31.97[[]],0.00[[]],5.90[[inst]],6.20[[inst]],29.63[[]],16[[block]],32[[block]],14[[block]],64[[block]],32[[]],97.06[[%]],47[[inst]],0.02[[%]],0.10[[%]],1.44[[cycle/nsecond]],0.03[[%]],1.02[[Kbyte/block]],5.22[[usecond]],10.50[[Kbyte/block]],"5,995[[cycle]]",0.17[[warp]],"2,549[[inst]]",0.16[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],4[[]],4.22[[%]],"2,677[[inst]]",0.17[[inst/cycle]],0.17[[]],7.36[[%]],0.78[[%]],0.27[[%]],0[[]],0[[%]],97.07[[%]],0.27[[%]],0.24[[%]],0.10[[%]],490.80[[Mbyte/second]],0.27[[%]],82.90[[%]],17.10[[%]],128[[register/thread]],146.85[[cycle]],4.22[[%]],1.15[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],14[[warp]],21.88[[%]],128[[thread]],6.14[[cycle]],5.85[[cycle]],0.00[[]]
