Params,Inputs,Precision,Bias,Input Size,Output Size,Kernel Name,Context,Stream,Block Size,Grid Size,Device,CC,Achieved Active Warps Per SM,Achieved Occupancy,Active Warps Per Scheduler,Avg. Active Threads Per Warp,Avg. Divergent Branches,Avg. Executed Instructions Per Scheduler,Avg. Issued Instructions Per Scheduler,Avg. Not Predicated Off Threads Per Warp,Block Limit Registers,Block Limit SM,Block Limit Shared Mem,Block Limit Warps,Block Size,Branch Efficiency,Branch Instructions,Branch Instructions Ratio,Compute (SM) Throughput,DRAM Frequency,DRAM Throughput,Driver Shared Memory Per Block,Duration,Dynamic Shared Memory Per Block,Elapsed Cycles,Eligible Warps Per Scheduler,Executed Instructions,Executed Ipc Active,Executed Ipc Elapsed,Function Cache Configuration,Grid Size,Issue Slots Busy,Issued Instructions,Issued Ipc Active,Issued Warp Per Scheduler,L1/TEX Cache Throughput,L1/TEX Hit Rate,L2 Cache Throughput,L2 Compression Ratio,L2 Compression Success Rate,L2 Hit Rate,Max Bandwidth,Mem Busy,Mem Pipes Busy,Memory Throughput,Memory Throughput,No Eligible,One or More Eligible,Registers Per Thread,SM Active Cycles,SM Busy,SM Frequency,Shared Memory Configuration Size,Static Shared Memory Per Block,Theoretical Active Warps per SM,Theoretical Occupancy,Threads,Warp Cycles Per Executed Instruction,Warp Cycles Per Issued Instruction,Waves Per SM
1.161.0.1.1,1,161,0,1,1,"std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)0, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)",1,7,"(32, 4, 1)","(1, 1, 1)",0,8.0,3.35[[warp]],5.23[[%]],1[[warp]],14.22[[]],0.01[[]],1.22[[inst]],1.39[[inst]],10.71[[]],3[[block]],32[[block]],9[[block]],16[[block]],128[[]],92.16[[%]],81[[inst]],0.15[[%]],0.03[[%]],1.40[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],4.51[[usecond]],640[[byte/block]],"5,042[[cycle]]",0.06[[warp]],525[[inst]],0.16[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],4.69[[%]],601[[inst]],0.19[[inst/cycle]],0.06[[]],13.63[[%]],25[[%]],0.26[[%]],0[[]],0[[%]],100.92[[%]],0.26[[%]],0.25[[%]],0.01[[%]],56.74[[Mbyte/second]],0.26[[%]],94.35[[%]],5.65[[%]],168[[register/thread]],29.69[[cycle]],4.69[[%]],1.12[[cycle/nsecond]],16.38[[Kbyte]],0[[byte/block]],12[[warp]],18.75[[%]],128[[thread]],20.26[[cycle]],17.70[[cycle]],0.00[[]]
2.161.0.2.2,2,161,0,2,2,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align2>(T1::Params),1,7,"(32, 1, 1)","(1, 1, 1)",0,8.0,1[[warp]],1.56[[%]],1[[warp]],32[[]],0[[]],2.92[[inst]],3.00[[inst]],27.70[[]],16[[block]],32[[block]],9[[block]],64[[block]],32[[]],100[[%]],11[[inst]],0.01[[%]],0.04[[%]],1.44[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],6.24[[usecond]],16.90[[Kbyte/block]],"7,204[[cycle]]",0.23[[warp]],"1,262[[inst]]",0.24[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],6.12[[%]],"1,294[[inst]]",0.24[[inst/cycle]],0.23[[]],8.25[[%]],0[[%]],0.20[[%]],0[[]],0[[%]],98.74[[%]],0.20[[%]],0.18[[%]],0.03[[%]],41.03[[Mbyte/second]],0.20[[%]],76.76[[%]],23.24[[%]],128[[register/thread]],48.94[[cycle]],6.24[[%]],1.15[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],9[[warp]],14.06[[%]],32[[thread]],4.41[[cycle]],4.30[[cycle]],0.00[[]]
2.161.0.2.2,2,161,0,2,2,"void splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)1, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)",1,7,"(32, 16, 1)","(1, 1, 1)",0,8.0,13.89[[warp]],21.71[[%]],3.72[[warp]],14.60[[]],0[[]],1.68[[inst]],2.27[[inst]],10.17[[]],4[[block]],32[[block]],16[[block]],4[[block]],512[[]],100[[%]],132[[inst]],0.18[[%]],0.05[[%]],1.55[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],3.62[[usecond]],0[[byte/block]],"4,507[[cycle]]",0.16[[warp]],724[[inst]],0.28[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],9.52[[%]],982[[inst]],0.38[[inst/cycle]],0.11[[]],17.13[[%]],84[[%]],0.29[[%]],0[[]],0[[%]],100.78[[%]],0.29[[%]],0.28[[%]],0.02[[%]],70.80[[Mbyte/second]],0.29[[%]],88.91[[%]],11.09[[%]],32[[register/thread]],23.89[[cycle]],9.52[[%]],1.25[[cycle/nsecond]],16.38[[Kbyte]],0[[byte/block]],64[[warp]],100[[%]],512[[thread]],45.48[[cycle]],33.53[[cycle]],0.00[[]]
4.161.0.4.4,4,161,0,4,4,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x2_tn_align2>(T1::Params),1,7,"(32, 1, 1)","(1, 1, 1)",0,8.0,1[[warp]],1.56[[%]],1[[warp]],32[[]],0[[]],2.92[[inst]],3.00[[inst]],27.73[[]],16[[block]],32[[block]],9[[block]],64[[block]],32[[]],100[[%]],11[[inst]],0.01[[%]],0.04[[%]],1.42[[cycle/nsecond]],0.00[[%]],1.02[[Kbyte/block]],6.30[[usecond]],16.90[[Kbyte/block]],"7,191[[cycle]]",0.24[[warp]],"1,262[[inst]]",0.24[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],6.09[[%]],"1,294[[inst]]",0.24[[inst/cycle]],0.24[[]],8.19[[%]],66.67[[%]],0.19[[%]],0[[]],0[[%]],98.93[[%]],0.19[[%]],0.18[[%]],0.03[[%]],60.91[[Mbyte/second]],0.19[[%]],75.55[[%]],24.45[[%]],128[[register/thread]],49.20[[cycle]],6.21[[%]],1.14[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],9[[warp]],14.06[[%]],32[[thread]],4.19[[cycle]],4.09[[cycle]],0.00[[]]
4.161.0.4.4,4,161,0,4,4,"void splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, __nv_bfloat16, (bool)1, (bool)1, (bool)0>(cublasSplitKParams<T6>, const T4 *, const T5 *, T5 *, const T6 *, const T6 *, const T7 *, const T4 *, T7 *, void *, long, T6 *, int *)",1,7,"(32, 16, 1)","(1, 1, 1)",0,8.0,12.12[[warp]],18.93[[%]],3.62[[warp]],13.59[[]],0[[]],2.06[[inst]],2.65[[inst]],9.73[[]],4[[block]],32[[block]],16[[block]],4[[block]],512[[]],100[[%]],152[[inst]],0.17[[%]],0.06[[%]],1.43[[cycle/nsecond]],0[[%]],1.02[[Kbyte/block]],3.81[[usecond]],0[[byte/block]],"4,335[[cycle]]",0.18[[warp]],888[[inst]],0.31[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],9.85[[%]],"1,144[[inst]]",0.39[[inst/cycle]],0.13[[]],18.87[[%]],90.62[[%]],0.29[[%]],0[[]],0[[%]],97.39[[%]],0.27[[%]],0.29[[%]],0.02[[%]],0[[byte/second]],0.29[[%]],87.22[[%]],12.78[[%]],32[[register/thread]],26.89[[cycle]],9.85[[%]],1.14[[cycle/nsecond]],16.38[[Kbyte]],0[[byte/block]],64[[warp]],100[[%]],512[[thread]],36.47[[cycle]],28.31[[cycle]],0.00[[]]
8.161.0.8.8,8,161,0,8,8,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x1_tn_align8>(T1::Params),1,7,"(32, 1, 1)","(1, 1, 1)",0,8.0,1.00[[warp]],1.56[[%]],1[[warp]],32[[]],0[[]],1.06[[inst]],1.13[[inst]],30.08[[]],28[[block]],32[[block]],29[[block]],64[[block]],32[[]],100[[%]],11[[inst]],0.02[[%]],0.02[[%]],1.51[[cycle/nsecond]],0.01[[%]],1.02[[Kbyte/block]],5.15[[usecond]],4.61[[Kbyte/block]],"6,234[[cycle]]",0.12[[warp]],459[[inst]],0.10[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],2.79[[%]],490[[inst]],0.11[[inst/cycle]],0.12[[]],10.02[[%]],0[[%]],0.22[[%]],0[[]],0[[%]],99.42[[%]],0.22[[%]],0.21[[%]],0.01[[%]],99.38[[Mbyte/second]],0.22[[%]],88.14[[%]],11.86[[%]],72[[register/thread]],40.66[[cycle]],2.79[[%]],1.21[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],28[[warp]],43.75[[%]],32[[thread]],9.00[[cycle]],8.43[[cycle]],0.00[[]]
12.161.0.12.12,12,161,0,12,12,void cutlass::Kernel<cutlass_75_wmma_tensorop_bf16_s161616gemm_bf16_32x32_32x1_tn_align1>(T1::Params),1,7,"(128, 1, 1)","(1, 1, 1)",0,8.0,3.97[[warp]],6.20[[%]],1[[warp]],31.96[[]],0.00[[]],5.14[[inst]],5.40[[inst]],28.75[[]],9[[block]],32[[block]],16[[block]],16[[block]],128[[]],96.97[[%]],46[[inst]],0.02[[%]],0.08[[%]],1.49[[cycle/nsecond]],0.01[[%]],1.02[[Kbyte/block]],5.34[[usecond]],5.12[[Kbyte/block]],"6,387[[cycle]]",0.12[[warp]],"2,220[[inst]]",0.49[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],12.99[[%]],"2,332[[inst]]",0.52[[inst/cycle]],0.12[[]],10.34[[%]],87.36[[%]],0.22[[%]],0[[]],0[[%]],97.71[[%]],0.22[[%]],0.21[[%]],0.05[[%]],191.62[[Mbyte/second]],0.22[[%]],87.95[[%]],12.05[[%]],56[[register/thread]],41.55[[cycle]],12.99[[%]],1.19[[cycle/nsecond]],102.40[[Kbyte]],0[[byte/block]],36[[warp]],56.25[[%]],128[[thread]],8.72[[cycle]],8.30[[cycle]],0.00[[]]
16.161.0.16.16,16,161,0,16,16,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_64x1_tn_align8>(T1::Params),1,7,"(32, 1, 1)","(1, 1, 1)",0,8.0,1[[warp]],1.56[[%]],1[[warp]],32[[]],0[[]],1.07[[inst]],1.14[[inst]],30.26[[]],28[[block]],32[[block]],29[[block]],64[[block]],32[[]],100[[%]],12[[inst]],0.03[[%]],0.02[[%]],1.52[[cycle/nsecond]],0.01[[%]],1.02[[Kbyte/block]],5.09[[usecond]],4.61[[Kbyte/block]],"6,173[[cycle]]",0.12[[warp]],461[[inst]],0.11[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],2.94[[%]],492[[inst]],0.12[[inst/cycle]],0.12[[]],10.85[[%]],2[[%]],0.23[[%]],0[[]],0[[%]],96.58[[%]],0.23[[%]],0.21[[%]],0.01[[%]],226.42[[Mbyte/second]],0.23[[%]],88.22[[%]],11.78[[%]],72[[register/thread]],38.74[[cycle]],2.94[[%]],1.21[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],28[[warp]],43.75[[%]],32[[thread]],9.06[[cycle]],8.49[[cycle]],0.00[[]]
20.161.0.20.20,20,161,0,20,20,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_32x32_128x2_tn_align2>(T1::Params),1,7,"(128, 1, 1)","(1, 1, 1)",0,8.0,3.91[[warp]],6.11[[%]],1[[warp]],31.97[[]],0.00[[]],8.70[[inst]],8.96[[inst]],28.68[[]],5[[block]],32[[block]],4[[block]],16[[block]],128[[]],94.12[[%]],48[[inst]],0.01[[%]],0.12[[%]],1.52[[cycle/nsecond]],0.02[[%]],1.02[[Kbyte/block]],6.05[[usecond]],33.79[[Kbyte/block]],"7,319[[cycle]]",0.19[[warp]],"3,758[[inst]]",0.71[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],1[[]],18.35[[%]],"3,870[[inst]]",0.73[[inst/cycle]],0.19[[]],17.85[[%]],78.67[[%]],0.20[[%]],0[[]],0[[%]],96.59[[%]],0.20[[%]],0.18[[%]],0.09[[%]],338.62[[Mbyte/second]],0.20[[%]],81.17[[%]],18.83[[%]],96[[register/thread]],48.82[[cycle]],18.35[[%]],1.21[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],16[[warp]],25[[%]],128[[thread]],5.47[[cycle]],5.31[[cycle]],0.00[[]]
24.161.0.24.24,24,161,0,24,24,void cutlass::Kernel<cutlass_80_wmma_tensorop_bf16_s161616gemm_bf16_16x16_128x1_tn_align8>(T1::Params),1,7,"(32, 1, 1)","(4, 1, 1)",0,8.0,1.00[[warp]],1.56[[%]],1[[warp]],31.97[[]],0.00[[]],5.47[[inst]],5.74[[inst]],29.52[[]],16[[block]],32[[block]],17[[block]],64[[block]],32[[]],97.06[[%]],47[[inst]],0.02[[%]],0.09[[%]],1.49[[cycle/nsecond]],0.03[[%]],1.02[[Kbyte/block]],5.18[[usecond]],8.70[[Kbyte/block]],"6,163[[cycle]]",0.16[[warp]],"2,361[[inst]]",0.15[[inst/cycle]],0.00[[inst/cycle]],CachePreferNone[[]],4[[]],3.83[[%]],"2,481[[inst]]",0.15[[inst/cycle]],0.16[[]],5.59[[%]],0.95[[%]],0.33[[%]],0[[]],0[[%]],96.93[[%]],0.25[[%]],0.23[[%]],0.08[[%]],493.83[[Mbyte/second]],0.25[[%]],83.69[[%]],16.31[[%]],128[[register/thread]],149.97[[cycle]],3.83[[%]],1.19[[cycle/nsecond]],167.94[[Kbyte]],0[[byte/block]],16[[warp]],25[[%]],128[[thread]],6.44[[cycle]],6.13[[cycle]],0.00[[]]
