b,m,k,n
192,512,64,512
192,512,512,64
192,512,64,512
192,512,512,64
192,512,64,512
192,512,512,64
192,512,64,512
192,512,512,64
192,512,64,512
192,512,512,64
192,512,64,512
192,512,512,64
192,512,64,512
192,512,512,64
192,512,64,512
192,512,512,64
192,512,64,512
192,512,512,64
192,512,64,512
192,512,512,64
192,512,64,512
192,512,512,64
192,512,64,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
192,512,512,64
192,512,64,512
192,64,512,512
192,512,512,64
