m,k,n
8192,2,768
2,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
8192,768,768
768,8192,768
