b,m,k,n
72,476,64,476
72,476,476,64
72,476,64,476
72,476,476,64
72,476,64,476
72,476,476,64
72,476,64,476
72,476,476,64
72,476,64,476
72,476,476,64
72,476,64,476
72,476,476,64
72,476,64,476
72,476,476,64
72,476,64,476
72,476,476,64
72,476,64,476
72,476,476,64
72,476,64,476
72,476,476,64
72,476,64,476
72,476,476,64
72,476,64,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
72,476,476,64
72,476,64,476
72,64,476,476
72,476,476,64
