x_shape,w_shape,bias,stride,padding,dilation,transposed,out_shape
"torch.Size([96, 9, 128, 128])","torch.Size([64, 9, 3, 3])",,"[2, 2]","[1, 1]","[1, 1]",False,"torch.Size([96, 64, 64, 64])"
"torch.Size([96, 64, 64, 64])","torch.Size([64, 64, 3, 3])",,"[2, 2]","[1, 1]","[1, 1]",False,"torch.Size([96, 64, 32, 32])"
"torch.Size([96, 64, 32, 32])","torch.Size([64, 64, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 64, 32, 32])"
"torch.Size([96, 64, 64, 64])","torch.Size([64, 64, 1, 1])",,"[2, 2]","[0, 0]","[1, 1]",False,"torch.Size([96, 64, 32, 32])"
"torch.Size([96, 64, 32, 32])","torch.Size([64, 64, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 64, 32, 32])"
"torch.Size([96, 64, 32, 32])","torch.Size([64, 64, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 64, 32, 32])"
"torch.Size([96, 64, 32, 32])","torch.Size([128, 64, 3, 3])",,"[2, 2]","[1, 1]","[1, 1]",False,"torch.Size([96, 128, 16, 16])"
"torch.Size([96, 128, 16, 16])","torch.Size([128, 128, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 128, 16, 16])"
"torch.Size([96, 64, 32, 32])","torch.Size([128, 64, 1, 1])",,"[2, 2]","[0, 0]","[1, 1]",False,"torch.Size([96, 128, 16, 16])"
"torch.Size([96, 128, 16, 16])","torch.Size([128, 128, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 128, 16, 16])"
"torch.Size([96, 128, 16, 16])","torch.Size([128, 128, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 128, 16, 16])"
"torch.Size([96, 128, 16, 16])","torch.Size([256, 128, 3, 3])",,"[2, 2]","[1, 1]","[1, 1]",False,"torch.Size([96, 256, 8, 8])"
"torch.Size([96, 256, 8, 8])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 256, 8, 8])"
"torch.Size([96, 128, 16, 16])","torch.Size([256, 128, 1, 1])",,"[2, 2]","[0, 0]","[1, 1]",False,"torch.Size([96, 256, 8, 8])"
"torch.Size([96, 256, 8, 8])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 256, 8, 8])"
"torch.Size([96, 256, 8, 8])","torch.Size([256, 256, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 256, 8, 8])"
"torch.Size([96, 256, 8, 8])","torch.Size([512, 256, 3, 3])",,"[2, 2]","[1, 1]","[1, 1]",False,"torch.Size([96, 512, 4, 4])"
"torch.Size([96, 512, 4, 4])","torch.Size([512, 512, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 512, 4, 4])"
"torch.Size([96, 256, 8, 8])","torch.Size([512, 256, 1, 1])",,"[2, 2]","[0, 0]","[1, 1]",False,"torch.Size([96, 512, 4, 4])"
"torch.Size([96, 512, 4, 4])","torch.Size([512, 512, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 512, 4, 4])"
"torch.Size([96, 512, 4, 4])","torch.Size([512, 512, 3, 3])",,"[1, 1]","[1, 1]","[1, 1]",False,"torch.Size([96, 512, 4, 4])"
