b,m,k,n
49152,64,9,1
96,512,64,512
96,512,512,64
49152,64,9,1
96,512,64,512
96,512,512,64
49152,64,9,1
96,512,64,512
96,512,512,64
49152,64,9,1
96,512,64,512
96,512,512,64
49152,64,9,1
96,512,64,512
96,512,512,64
49152,64,9,1
96,512,64,512
96,512,512,64
49152,64,9,1
96,512,64,512
96,512,512,64
49152,64,9,1
96,512,64,512
96,512,512,64
49152,64,9,1
96,512,64,512
96,512,512,64
49152,64,9,1
96,512,64,512
96,512,512,64
49152,64,9,1
96,512,64,512
96,512,512,64
49152,64,9,1
96,512,64,512
96,512,512,64
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
96,512,512,64
96,512,64,512
96,64,512,512
96,512,512,64
49152,9,64,1
49152,64,1,9
