x_shape,w_shape,bias,stride,padding,dilation,transposed,out_shape
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
"torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",,[1],[4],[1],False,"torch.Size([16, 768, 512])"
"torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",,[1],[0],[1],False,"torch.Size([16, 384, 512])"
