grad_out_shape,x_shape,w_shape,bias,stride,padding,dilation,transposed,output_padding,groups,output_mask,out_shape,shapes
"torch.Size([16, 384, 512])","torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",[0],[1],[0],[1],False,[0],1,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([384, 768, 1]), None)","[[torch.Size([16, 384, 512]), torch.Size([384, 768, 1]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [384, 16, 512], [768, 384, 1], False]]"
"torch.Size([16, 768, 512])","torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",[0],[1],[4],[1],False,[0],768,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), None)","[[torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [768, 16, 512], [1, 768, 9], False]]"
"torch.Size([16, 384, 512])","torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",[0],[1],[0],[1],False,[0],1,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([384, 768, 1]), None)","[[torch.Size([16, 384, 512]), torch.Size([384, 768, 1]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [384, 16, 512], [768, 384, 1], False]]"
"torch.Size([16, 768, 512])","torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",[0],[1],[4],[1],False,[0],768,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), None)","[[torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [768, 16, 512], [1, 768, 9], False]]"
"torch.Size([16, 384, 512])","torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",[0],[1],[0],[1],False,[0],1,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([384, 768, 1]), None)","[[torch.Size([16, 384, 512]), torch.Size([384, 768, 1]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [384, 16, 512], [768, 384, 1], False]]"
"torch.Size([16, 768, 512])","torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",[0],[1],[4],[1],False,[0],768,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), None)","[[torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [768, 16, 512], [1, 768, 9], False]]"
"torch.Size([16, 384, 512])","torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",[0],[1],[0],[1],False,[0],1,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([384, 768, 1]), None)","[[torch.Size([16, 384, 512]), torch.Size([384, 768, 1]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [384, 16, 512], [768, 384, 1], False]]"
"torch.Size([16, 768, 512])","torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",[0],[1],[4],[1],False,[0],768,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), None)","[[torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [768, 16, 512], [1, 768, 9], False]]"
"torch.Size([16, 384, 512])","torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",[0],[1],[0],[1],False,[0],1,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([384, 768, 1]), None)","[[torch.Size([16, 384, 512]), torch.Size([384, 768, 1]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [384, 16, 512], [768, 384, 1], False]]"
"torch.Size([16, 768, 512])","torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",[0],[1],[4],[1],False,[0],768,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), None)","[[torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [768, 16, 512], [1, 768, 9], False]]"
"torch.Size([16, 384, 512])","torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",[0],[1],[0],[1],False,[0],1,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([384, 768, 1]), None)","[[torch.Size([16, 384, 512]), torch.Size([384, 768, 1]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [384, 16, 512], [768, 384, 1], False]]"
"torch.Size([16, 768, 512])","torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",[0],[1],[4],[1],False,[0],768,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), None)","[[torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [768, 16, 512], [1, 768, 9], False]]"
"torch.Size([16, 384, 512])","torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",[0],[1],[0],[1],False,[0],1,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([384, 768, 1]), None)","[[torch.Size([16, 384, 512]), torch.Size([384, 768, 1]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [384, 16, 512], [768, 384, 1], False]]"
"torch.Size([16, 768, 512])","torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",[0],[1],[4],[1],False,[0],768,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), None)","[[torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [768, 16, 512], [1, 768, 9], False]]"
"torch.Size([16, 384, 512])","torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",[0],[1],[0],[1],False,[0],1,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([384, 768, 1]), None)","[[torch.Size([16, 384, 512]), torch.Size([384, 768, 1]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [384, 16, 512], [768, 384, 1], False]]"
"torch.Size([16, 768, 512])","torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",[0],[1],[4],[1],False,[0],768,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), None)","[[torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [768, 16, 512], [1, 768, 9], False]]"
"torch.Size([16, 384, 512])","torch.Size([16, 768, 512])","torch.Size([384, 768, 1])",[0],[1],[0],[1],False,[0],1,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([384, 768, 1]), None)","[[torch.Size([16, 384, 512]), torch.Size([384, 768, 1]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [384, 16, 512], [768, 384, 1], False]]"
"torch.Size([16, 768, 512])","torch.Size([16, 768, 512])","torch.Size([768, 1, 9])",[0],[1],[4],[1],False,[0],768,"[True, True, False]","(torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), None)","[[torch.Size([16, 768, 512]), torch.Size([768, 1, 9]), torch.Size([16, 768, 512]), True], [[768, 16, 512], [768, 16, 512], [1, 768, 9], False]]"
