m,k,n
8192,384,54
8192,384,54
8192,384,54
8192,384,54
8192,384,54
8192,384,54
8192,384,54
8192,384,54
8192,384,54
8192,384,54
8192,384,54
8192,384,54
8192,30522,768
30522,8192,768
8192,768,768
768,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,768,3072
768,8192,3072
8192,3072,768
3072,8192,768
8192,768,768
768,8192,768
8192,384,768
384,8192,768
54,8192,384
8192,54,384
8192,384,768
384,8192,768
8192,384,768
384,8192,768
8192,384,768
384,8192,768
