m,k,n
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
12544,768,2304
12544,768,3072
12544,3072,768
16,768,768
12560,768,768
12560,768,768
16,768,768
16,768,3072
16,3072,768
16,768,768
12560,768,768
12560,768,768
16,768,768
16,768,3072
16,3072,768
16,768,1000
