grad_out_shape,x_shape,w_shape,bias,stride,padding,dilation,transposed,output_padding,groups,output_mask,out_shape,shapes
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
"torch.Size([16, 768, 28, 28])","torch.Size([16, 768, 28, 28])","torch.Size([768, 1, 3, 3])",[768],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",768,"[True, True, True]","(torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([768]))","[[torch.Size([16, 768, 28, 28]), torch.Size([768, 1, 3, 3]), torch.Size([16, 768, 28, 28]), True], [[768, 16, 28, 28], [768, 16, 28, 28], [1, 768, 3, 3], False]]"
