query_shape,key_shape,value_shape,shapes,out_shape
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
"torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","torch.Size([64, 12, 197, 64])","[[768, 197, 64, 197], [768, 197, 197, 64]]","(torch.Size([64, 12, 197, 64]), torch.Size([64, 12, 224]), torch.Size([]), torch.Size([]))"
