grad_out_shape,x_shape,w_shape,bias,stride,padding,dilation,transposed,output_padding,groups,output_mask,out_shape,shapes
"torch.Size([8, 255, 48, 64])","torch.Size([8, 256, 48, 64])","torch.Size([255, 256, 1, 1])",[255],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, True]","(torch.Size([8, 256, 48, 64]), torch.Size([255, 256, 1, 1]), torch.Size([255]))","[[torch.Size([8, 255, 48, 64]), torch.Size([255, 256, 1, 1]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [255, 8, 48, 64], [256, 255, 1, 1], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 48, 64])","torch.Size([256, 128, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 48, 64]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 48, 64]), True], [[128, 8, 48, 64], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
"torch.Size([8, 128, 48, 64])","torch.Size([8, 256, 48, 64])","torch.Size([128, 256, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 48, 64]), torch.Size([128, 256, 1, 1]), None)","[[torch.Size([8, 128, 48, 64]), torch.Size([128, 256, 1, 1]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [128, 8, 48, 64], [256, 128, 1, 1], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 48, 64])","torch.Size([256, 128, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 48, 64]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 48, 64]), True], [[128, 8, 48, 64], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
"torch.Size([8, 128, 48, 64])","torch.Size([8, 256, 48, 64])","torch.Size([128, 256, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 48, 64]), torch.Size([128, 256, 1, 1]), None)","[[torch.Size([8, 128, 48, 64]), torch.Size([128, 256, 1, 1]), torch.Size([8, 256, 48, 64]), True], [[256, 8, 48, 64], [128, 8, 48, 64], [256, 128, 1, 1], False]]"
"torch.Size([8, 256, 48, 64])","torch.Size([8, 128, 48, 64])","torch.Size([256, 128, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 128, 48, 64]), torch.Size([256, 128, 3, 3]), None)","[[torch.Size([8, 256, 48, 64]), torch.Size([256, 128, 3, 3]), torch.Size([8, 128, 48, 64]), True], [[128, 8, 48, 64], [256, 8, 48, 64], [128, 256, 3, 3], False]]"
"torch.Size([8, 128, 48, 64])","torch.Size([8, 384, 48, 64])","torch.Size([128, 384, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 384, 48, 64]), torch.Size([128, 384, 1, 1]), None)","[[torch.Size([8, 128, 48, 64]), torch.Size([128, 384, 1, 1]), torch.Size([8, 384, 48, 64]), True], [[384, 8, 48, 64], [128, 8, 48, 64], [384, 128, 1, 1], False]]"
"torch.Size([8, 128, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([128, 256, 1, 1])",[0],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([128, 256, 1, 1]), None)","[[torch.Size([8, 128, 24, 32]), torch.Size([128, 256, 1, 1]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [128, 8, 24, 32], [256, 128, 1, 1], False]]"
"torch.Size([8, 255, 24, 32])","torch.Size([8, 512, 24, 32])","torch.Size([255, 512, 1, 1])",[255],"[1, 1]","[0, 0]","[1, 1]",False,"[0, 0]",1,"[True, True, True]","(torch.Size([8, 512, 24, 32]), torch.Size([255, 512, 1, 1]), torch.Size([255]))","[[torch.Size([8, 255, 24, 32]), torch.Size([255, 512, 1, 1]), torch.Size([8, 512, 24, 32]), True], [[512, 8, 24, 32], [255, 8, 24, 32], [512, 255, 1, 1], False]]"
"torch.Size([8, 512, 24, 32])","torch.Size([8, 256, 24, 32])","torch.Size([512, 256, 3, 3])",[0],"[1, 1]","[1, 1]","[1, 1]",False,"[0, 0]",1,"[True, True, False]","(torch.Size([8, 256, 24, 32]), torch.Size([512, 256, 3, 3]), None)","[[torch.Size([8, 512, 24, 32]), torch.Size([512, 256, 3, 3]), torch.Size([8, 256, 24, 32]), True], [[256, 8, 24, 32], [512, 8, 24, 32], [256, 512, 3, 3], False]]"
