Kernel Name,Latency (ms)
16.cudnn.2.8.32.32.32.32.0,0.02208000048995018
16.cudnn.2.8.32.32.32.32.1,0.021215999498963356
16.cudnn.2.8.32.32.32.64.0,0.020735999569296837
16.cudnn.2.8.32.32.32.64.1,0.02191999927163124
16.cudnn.2.8.32.32.32.128.0,0.02038400061428547
16.cudnn.2.8.32.32.32.128.1,0.021568000316619873
16.cudnn.2.8.32.32.32.256.0,-4
16.cudnn.2.8.32.32.32.256.1,-4
16.cudnn.2.8.32.32.64.32.0,0.020128000527620316
16.cudnn.2.8.32.32.64.32.1,0.020767999812960625
16.cudnn.2.8.32.32.64.64.0,0.021088000386953354
16.cudnn.2.8.32.32.64.64.1,0.020576000213623047
16.cudnn.2.8.32.32.64.128.0,0.01974399946630001
16.cudnn.2.8.32.32.64.128.1,0.02127999998629093
16.cudnn.2.8.32.32.64.256.0,-4
16.cudnn.2.8.32.32.64.256.1,-4
16.cudnn.2.8.32.32.128.32.0,0.019231999292969704
16.cudnn.2.8.32.32.128.32.1,0.020767999812960625
16.cudnn.2.8.32.32.128.64.0,0.02038400061428547
16.cudnn.2.8.32.32.128.64.1,0.020608000457286835
16.cudnn.2.8.32.32.128.128.0,0.019967999309301376
16.cudnn.2.8.32.32.128.128.1,0.02112000063061714
16.cudnn.2.8.32.32.128.256.0,-4
16.cudnn.2.8.32.32.128.256.1,-4
16.cudnn.2.8.32.32.256.32.0,-4
16.cudnn.2.8.32.32.256.32.1,-4
16.cudnn.2.8.32.32.256.64.0,-4
16.cudnn.2.8.32.32.256.64.1,-4
16.cudnn.2.8.32.32.256.128.0,-4
16.cudnn.2.8.32.32.256.128.1,-4
16.cudnn.2.8.32.32.256.256.0,-4
16.cudnn.2.8.32.32.256.256.1,-4
16.cudnn.2.8.32.64.32.32.0,0.02038400061428547
16.cudnn.2.8.32.64.32.32.1,0.020096000283956528
16.cudnn.2.8.32.64.32.64.0,0.019680000841617584
16.cudnn.2.8.32.64.32.64.1,0.02239999920129776
16.cudnn.2.8.32.64.32.128.0,0.020128000527620316
16.cudnn.2.8.32.64.32.128.1,0.02131200022995472
16.cudnn.2.8.32.64.32.256.0,-4
16.cudnn.2.8.32.64.32.256.1,-4
16.cudnn.2.8.32.64.64.32.0,0.019648000597953796
16.cudnn.2.8.32.64.64.32.1,0.02051199972629547
16.cudnn.2.8.32.64.64.64.0,0.01945599913597107
16.cudnn.2.8.32.64.64.64.1,0.023231999948620796
16.cudnn.2.8.32.64.64.128.0,0.01958400011062622
16.cudnn.2.8.32.64.64.128.1,0.021023999899625778
16.cudnn.2.8.32.64.64.256.0,-4
16.cudnn.2.8.32.64.64.256.1,-4
16.cudnn.2.8.32.64.128.32.0,0.019840000197291374
16.cudnn.2.8.32.64.128.32.1,0.021056000143289566
16.cudnn.2.8.32.64.128.64.0,0.021376000717282295
16.cudnn.2.8.32.64.128.64.1,0.020447999238967896
16.cudnn.2.8.32.64.128.128.0,0.01961600035429001
16.cudnn.2.8.32.64.128.128.1,0.020927999168634415
16.cudnn.2.8.32.64.128.256.0,-4
16.cudnn.2.8.32.64.128.256.1,-4
16.cudnn.2.8.32.64.256.32.0,-4
16.cudnn.2.8.32.64.256.32.1,-4
16.cudnn.2.8.32.64.256.64.0,-4
16.cudnn.2.8.32.64.256.64.1,-4
16.cudnn.2.8.32.64.256.128.0,-4
16.cudnn.2.8.32.64.256.128.1,-4
16.cudnn.2.8.32.64.256.256.0,-4
16.cudnn.2.8.32.64.256.256.1,-4
16.cudnn.2.8.32.128.32.32.0,0.020160000771284103
16.cudnn.2.8.32.128.32.32.1,0.02070399932563305
16.cudnn.2.8.32.128.32.64.0,0.020416000857949257
16.cudnn.2.8.32.128.32.64.1,0.020767999812960625
16.cudnn.2.8.32.128.32.128.0,0.01990400068461895
16.cudnn.2.8.32.128.32.128.1,0.021088000386953354
16.cudnn.2.8.32.128.32.256.0,-4
16.cudnn.2.8.32.128.32.256.1,-4
16.cudnn.2.8.32.128.64.32.0,0.02006400004029274
16.cudnn.2.8.32.128.64.32.1,0.021215999498963356
16.cudnn.2.8.32.128.64.64.0,0.020800000056624413
16.cudnn.2.8.32.128.64.64.1,0.020767999812960625
16.cudnn.2.8.32.128.64.128.0,0.02022399939596653
16.cudnn.2.8.32.128.64.128.1,0.022112000733613968
16.cudnn.2.8.32.128.64.256.0,-4
16.cudnn.2.8.32.128.64.256.1,-4
16.cudnn.2.8.32.128.128.32.0,0.019711999222636223
16.cudnn.2.8.32.128.128.32.1,0.020864000543951988
16.cudnn.2.8.32.128.128.64.0,0.01990400068461895
16.cudnn.2.8.32.128.128.64.1,0.02054399996995926
16.cudnn.2.8.32.128.128.128.0,0.02038400061428547
16.cudnn.2.8.32.128.128.128.1,0.021056000143289566
16.cudnn.2.8.32.128.128.256.0,-4
16.cudnn.2.8.32.128.128.256.1,-4
16.cudnn.2.8.32.128.256.32.0,-4
16.cudnn.2.8.32.128.256.32.1,-4
16.cudnn.2.8.32.128.256.64.0,-4
16.cudnn.2.8.32.128.256.64.1,-4
16.cudnn.2.8.32.128.256.128.0,-4
16.cudnn.2.8.32.128.256.128.1,-4
16.cudnn.2.8.32.128.256.256.0,-4
16.cudnn.2.8.32.128.256.256.1,-4
16.cudnn.2.8.32.256.32.32.0,0.021215999498963356
16.cudnn.2.8.32.256.32.32.1,0.020320000126957893
16.cudnn.2.8.32.256.32.64.0,0.02006400004029274
16.cudnn.2.8.32.256.32.64.1,0.02022399939596653
16.cudnn.2.8.32.256.32.128.0,0.020447999238967896
16.cudnn.2.8.32.256.32.128.1,0.020320000126957893
16.cudnn.2.8.32.256.32.256.0,-4
16.cudnn.2.8.32.256.32.256.1,-4
16.cudnn.2.8.32.256.64.32.0,0.020640000700950623
16.cudnn.2.8.32.256.64.32.1,0.020927999168634415
16.cudnn.2.8.32.256.64.64.0,0.02035200037062168
16.cudnn.2.8.32.256.64.64.1,0.020640000700950623
16.cudnn.2.8.32.256.64.128.0,0.02147199958562851
16.cudnn.2.8.32.256.64.128.1,0.021888000890612602
16.cudnn.2.8.32.256.64.256.0,-4
16.cudnn.2.8.32.256.64.256.1,-4
16.cudnn.2.8.32.256.128.32.0,0.021056000143289566
16.cudnn.2.8.32.256.128.32.1,0.020320000126957893
16.cudnn.2.8.32.256.128.64.0,0.02035200037062168
16.cudnn.2.8.32.256.128.64.1,0.02051199972629547
16.cudnn.2.8.32.256.128.128.0,0.0208320003002882
16.cudnn.2.8.32.256.128.128.1,0.020416000857949257
16.cudnn.2.8.32.256.128.256.0,-4
16.cudnn.2.8.32.256.128.256.1,-4
16.cudnn.2.8.32.256.256.32.0,-4
16.cudnn.2.8.32.256.256.32.1,-4
16.cudnn.2.8.32.256.256.64.0,-4
16.cudnn.2.8.32.256.256.64.1,-4
16.cudnn.2.8.32.256.256.128.0,-4
16.cudnn.2.8.32.256.256.128.1,-4
16.cudnn.2.8.32.256.256.256.0,-4
16.cudnn.2.8.32.256.256.256.1,-4
16.cudnn.2.8.32.512.32.32.0,0.02179200015962124
16.cudnn.2.8.32.512.32.32.1,0.020160000771284103
16.cudnn.2.8.32.512.32.64.0,0.021824000403285027
16.cudnn.2.8.32.512.32.64.1,0.02112000063061714
16.cudnn.2.8.32.512.32.128.0,0.022624000906944275
16.cudnn.2.8.32.512.32.128.1,0.020255999639630318
16.cudnn.2.8.32.512.32.256.0,-4
16.cudnn.2.8.32.512.32.256.1,-4
16.cudnn.2.8.32.512.64.32.0,0.02223999984562397
16.cudnn.2.8.32.512.64.32.1,0.02099199965596199
16.cudnn.2.8.32.512.64.64.0,0.022304000332951546
16.cudnn.2.8.32.512.64.64.1,0.021247999742627144
16.cudnn.2.8.32.512.64.128.0,0.022784000262618065
16.cudnn.2.8.32.512.64.128.1,0.021503999829292297
16.cudnn.2.8.32.512.64.256.0,-4
16.cudnn.2.8.32.512.64.256.1,-4
16.cudnn.2.8.32.512.128.32.0,0.022943999618291855
16.cudnn.2.8.32.512.128.32.1,0.0208320003002882
16.cudnn.2.8.32.512.128.64.0,0.02300800010561943
16.cudnn.2.8.32.512.128.64.1,0.021088000386953354
16.cudnn.2.8.32.512.128.128.0,0.022592000663280487
