Kernel Name,Latency (ms)
b16.cudnn.2.12.32.32.32.32.0,0.02300800010561943
b16.cudnn.2.12.32.32.32.32.1,0.02223999984562397
b16.cudnn.2.12.32.32.32.64.0,0.02112000063061714
b16.cudnn.2.12.32.32.32.64.1,0.021023999899625778
b16.cudnn.2.12.32.32.32.128.0,0.0208320003002882
b16.cudnn.2.12.32.32.32.128.1,0.021056000143289566
b16.cudnn.2.12.32.32.32.256.0,-4
b16.cudnn.2.12.32.32.32.256.1,-4
b16.cudnn.2.12.32.32.64.32.0,0.02099199965596199
b16.cudnn.2.12.32.32.64.32.1,0.021727999672293663
b16.cudnn.2.12.32.32.64.64.0,0.02051199972629547
b16.cudnn.2.12.32.32.64.64.1,0.021888000890612602
b16.cudnn.2.12.32.32.64.128.0,0.020576000213623047
b16.cudnn.2.12.32.32.64.128.1,0.02127999998629093
b16.cudnn.2.12.32.32.64.256.0,-4
b16.cudnn.2.12.32.32.64.256.1,-4
b16.cudnn.2.12.32.32.128.32.0,0.020800000056624413
b16.cudnn.2.12.32.32.128.32.1,0.02127999998629093
b16.cudnn.2.12.32.32.128.64.0,0.02070399932563305
b16.cudnn.2.12.32.32.128.64.1,0.02127999998629093
b16.cudnn.2.12.32.32.128.128.0,0.021888000890612602
b16.cudnn.2.12.32.32.128.128.1,0.021215999498963356
b16.cudnn.2.12.32.32.128.256.0,-4
b16.cudnn.2.12.32.32.128.256.1,-4
b16.cudnn.2.12.32.32.256.32.0,-4
b16.cudnn.2.12.32.32.256.32.1,-4
b16.cudnn.2.12.32.32.256.64.0,-4
b16.cudnn.2.12.32.32.256.64.1,-4
b16.cudnn.2.12.32.32.256.128.0,-4
b16.cudnn.2.12.32.32.256.128.1,-4
b16.cudnn.2.12.32.32.256.256.0,-4
b16.cudnn.2.12.32.32.256.256.1,-4
b16.cudnn.2.12.32.64.32.32.0,0.019999999552965164
b16.cudnn.2.12.32.64.32.32.1,0.020767999812960625
b16.cudnn.2.12.32.64.32.64.0,0.0208320003002882
b16.cudnn.2.12.32.64.32.64.1,0.0208320003002882
b16.cudnn.2.12.32.64.32.128.0,0.02067199908196926
b16.cudnn.2.12.32.64.32.128.1,0.02112000063061714
b16.cudnn.2.12.32.64.32.256.0,-4
b16.cudnn.2.12.32.64.32.256.1,-4
b16.cudnn.2.12.32.64.64.32.0,0.020191999152302742
b16.cudnn.2.12.32.64.64.32.1,0.021023999899625778
b16.cudnn.2.12.32.64.64.64.0,0.020767999812960625
b16.cudnn.2.12.32.64.64.64.1,0.02112000063061714
b16.cudnn.2.12.32.64.64.128.0,0.020959999412298203
b16.cudnn.2.12.32.64.64.128.1,0.02147199958562851
b16.cudnn.2.12.32.64.64.256.0,-4
b16.cudnn.2.12.32.64.64.256.1,-4
b16.cudnn.2.12.32.64.128.32.0,0.020800000056624413
b16.cudnn.2.12.32.64.128.32.1,0.02127999998629093
b16.cudnn.2.12.32.64.128.64.0,0.021727999672293663
b16.cudnn.2.12.32.64.128.64.1,0.021727999672293663
b16.cudnn.2.12.32.64.128.128.0,0.02038400061428547
b16.cudnn.2.12.32.64.128.128.1,0.02147199958562851
b16.cudnn.2.12.32.64.128.256.0,-4
b16.cudnn.2.12.32.64.128.256.1,-4
b16.cudnn.2.12.32.64.256.32.0,-4
b16.cudnn.2.12.32.64.256.32.1,-4
b16.cudnn.2.12.32.64.256.64.0,-4
b16.cudnn.2.12.32.64.256.64.1,-4
b16.cudnn.2.12.32.64.256.128.0,-4
b16.cudnn.2.12.32.64.256.128.1,-4
b16.cudnn.2.12.32.64.256.256.0,-4
b16.cudnn.2.12.32.64.256.256.1,-4
b16.cudnn.2.12.32.128.32.32.0,0.02006400004029274
b16.cudnn.2.12.32.128.32.32.1,0.0208320003002882
b16.cudnn.2.12.32.128.32.64.0,0.02054399996995926
b16.cudnn.2.12.32.128.32.64.1,0.021215999498963356
b16.cudnn.2.12.32.128.32.128.0,0.02022399939596653
b16.cudnn.2.12.32.128.32.128.1,0.020864000543951988
b16.cudnn.2.12.32.128.32.256.0,-4
b16.cudnn.2.12.32.128.32.256.1,-4
